Species,Common_name
Phelsuma breviceps,G: Kurzkopf-Taggecko
Phelsuma cepediana,"E: Bluetail Day  Gecko
G: Blauschwanz-Taggecko"
Phelsuma comorensis,
Phelsuma dorsivittata,"E: Striped Day Gecko
G: Streifentaggecko"
Phelsuma dubia,Zanzibar Day Gecko
Phelsuma edwardnewtoni,Rodrigues Blue-dotted day gecko
Phelsuma flavigularis,"E: Yellow-throated Day Gecko
G: Gelbkehliger Taggecko"
Phelsuma gigas,Rodrigues' Day Gecko
Phelsuma gouldi,
Phelsuma grandis,"E: Madagascar Day Gecko
G: Großer Taggecko"
Phelsuma guentheri,Round lsland Day Gecko
Phelsuma guimbeaui,Orange-spotted Day Gecko
Phelsuma guttata,Speckled Day  Gecko
Phelsuma hielscheri,
Phelsuma hoeschi,
Phelsuma inexpectata,
Phelsuma kely,
Phelsuma klemmeri,"E: English common name not available
G: Blauer Bambustaggecko"
Phelsuma kochi,"E: Madagascar Day Gecko
G: Großer Taggecko"
Phelsuma laticauda,"E: Gold dust day gecko, Broad-tailed Day Gecko
G: Goldstaub Taggecko"
Phelsuma lineata,"E: Striped Day Gecko
G: Streifentaggecko"
Phelsuma madagascariensis,"E: Madagascar Day Gecko
G: Großer Taggecko"
Phelsuma malamakibo,
Phelsuma masohoala,
Phelsuma modesta,Modest Day Gecko
Phelsuma mutabilis,Thicktail Day Gecko
Phelsuma nigristriata,Island Day Gecko
Phelsuma ornata,Ornate Day Gecko
Phelsuma parkeri,Parker's Day  Gecko
Phelsuma parva,
Phelsuma pasteuri,Indian Day Gecko
Phelsuma pronki,
Phelsuma pusilla,
Phelsuma quadriocellata,"E: Peacock Day Gecko
G: Pfauenauge Taggecko"
Phelsuma ravenala,
Phelsuma robertmertensi,Mertens' Day Gecko
Phelsuma roesleri,
Phelsuma rosagularis,
Phelsuma seippi,
Phelsuma serraticauda,"E: Serrated Day Gecko
G: Sägeschwanztaggecko"
Phelsuma standingi,"E: Standing's Day Gecko
G: Querstreifen-Taggecko"
Phelsuma sundbergi,Seychelles Giant Day Gecko
Phelsuma v-nigra,Indian Day Gecko
Phelsuma vanheygeni,
Philochortus hardeggeri,"Hardegger's Orangetail Lizard, Hardegger's Shield-backed Lizard"
Philochortus intermedius,"Southern Orangetail Lizard, Shield-backed ground lizard
intermedius: Boulenger’s Shield-backed Lizard
rudolfensis: Southern Shield-backed Lizard"
Philochortus neumanni,Neumann's Orangetail Lizard
Philochortus phillipsi,Philipps’ Shield-backed Lizard
Philochortus spinalis,"Peters’ Shield-backed Lizard, Eritrea Orangetail Lizard"
Philochortus zolii,
Philodryas aestiva,"Brazilian Green Racer, Common Green Racer"
Philodryas agassizii,Burrowing Night Snake
Philodryas amaru,
Philodryas argentea,Striped Sharpnose Snake
Philodryas arnaldoi,Arnaldo's Green Racer
Philodryas baroni,"E: Baron's Green Racer
G: Langnasen Strauchnatter"
Philodryas boliviana,Bolivian Racer
Philodryas chamissonis,Chilean Green Racer
Philodryas cordata,
Philodryas erlandi,Miranda Green Racer
Philodryas georgeboulengeri,Southern Sharpnose Snake
Philodryas laticeps,
Philodryas livida,
Philodryas mattogrossensis,Miranda Green Racer
Philodryas nattereri,Paraguay Green Racer
Philodryas olfersii,"E: Lichtenstein's Green Racer
G: Grüne Strauchnatter"
Philodryas patagoniensis,Patagonia Green Racer
Philodryas psammophidea,Günther's Green Racer
Philodryas simonsii,
Philodryas tachymenoides,Schmidt's Green Racer
Philodryas trilineata,
Philodryas varia,Jan's Green Racer
Philodryas viridissima,Common Green Racer
Philothamnus angolensis,"Angola Green Snake, Western Green Snake"
Philothamnus battersbyi,Battersby's Green Snake
Philothamnus bequaerti,Bequaert's Green Snake
Philothamnus carinatus,Thirteen-scaled Green Snake
Philothamnus dorsalis,"Striped Green Snake, Striped Wood Snake"
Philothamnus girardi,"Girard's Green Snake, Annobon Wood Snake"
Philothamnus heterodermus,"Emerald Green Snake, Variable Green Snake"
Philothamnus heterolepidotus,Slender Green Snake
Philothamnus hoplogaster,"Southeastern Green snake, Green Water Snake"
Philothamnus hughesi,Hughes' Green Snake
Philothamnus irregularis,"E: Northern Green Bush Snake, Irregular Green Snake
G: Grüne Sumpfschlange"
Philothamnus macrops,Usambara Green Snake
Philothamnus natalensis,"natalensis: Natal Green Snake
occidentalis: Eastern Green Snake"
Philothamnus nitidus,"Green Bush Snake, Cameroons Wood Snake"
Philothamnus ornatus,Ornate Green Snake
Philothamnus pobeguini,
Philothamnus punctatus,Spotted Green Snake
Philothamnus ruandae,"Ruanda Emerald Green Snake, Rwanda Forest Green Snake"
Philothamnus semivariegatus,"E: Spotted Bush Snake, Spotted Green Snake, Variegated Green Snake
G: Gefleckte Buschschlange"
Philothamnus thomensis,Sao Tome Wood Snake
Phimophis guerini,Argentine Pampas Snake
Phimophis guianensis,Troschel's Pampas Snake
Phimophis vittatus,Banded Pampas Snake
Phisalixella arctifasciata,
Phisalixella iarakaensis,
Phisalixella tulearensis,
Phisalixella variabilis,
Phoboscincus bocourti,"Bocourt’s terrific Skink, Bocourt's Eyelid Skink"
Phoboscincus garnieri,Garnier's Skinks
Phoenicolacerta cyanisparsa,
Phoenicolacerta kulzeri,
Phoenicolacerta laevis,"E: Lebanon Lizard
G: Syrische Eidechse"
Phoenicolacerta troodica,
Pholidobolus affinis,Peters' Pholiodobolus
Pholidobolus anomalus,Strange Pholiodobolus
Pholidobolus dicrus,Uzzell's Prionodactylus
Pholidobolus hillisi,Cuilanes of Hillis
Pholidobolus macbrydei,MacBryde's Pholiodobolus
Pholidobolus montium,"E: Mountain Pholiodobolus
S: Lagartija de jardines de Quito"
Pholidobolus prefrontalis,Montanucci's Pholiodobolus
Pholidobolus ulisesi,
Pholidobolus vertebralis,"E: Brown Prionodactylus
S: Lagartija minadora subtropical"
Pholidoscelis atratus,Redonda Ameiva
Pholidoscelis auberi,Auber's Ameiva
Pholidoscelis chrysolaemus,Common Ameiva
Pholidoscelis cineraceus,Guadeloupe Ameiva
Pholidoscelis corax,Censky's Ameiva
Pholidoscelis corvinus,Sombrero Ameiva
Pholidoscelis dorsalis,Jamaica Ameiva
Pholidoscelis erythrocephalus,St. Christopher Ameiva
Pholidoscelis exsul,Common Puerto Rican Ameiva
Pholidoscelis fuscatus,Dominican Ameiva
Pholidoscelis griswoldi,"Antiguan ameiva, Griswold's Ameiva"
Pholidoscelis lineolatus,"Pigmy blue-tailed ameiva, Dwarf  Teiid"
Pholidoscelis major,Martinique Ameiva
Pholidoscelis maynardi,Great Inagua Ameiva
Pholidoscelis plei,Anguilla Bank Ameiva
Pholidoscelis pluvianotatus,Montiserrat Ameiva
Pholidoscelis polops,St. Croix Ameiva
Pholidoscelis taeniurus,"Hispaniolan blue-tailed ameiva, Haitian Ameiva"
Pholidoscelis umbratilis,Shady Ameiva
Pholidoscelis wetmorei,"Puerto Rican blue-tailed ameiva, Wetmore's Ameiva"
Phoxophrys borneensis,Sabah Eyebrow Lizard
Phoxophrys cephalum,Mocquard's Eyebrow Lizard
Phoxophrys nigrilabris,Blacklipped Eyebrow Lizard
Phoxophrys spiniceps,Sarawak Eyebrow Lizard
Phoxophrys tuberculata,Hubrecht's Eyebrow Lizard
Phrynocephalus ahvazicus,
Phrynocephalus ananjevae,
Phrynocephalus arabicus,Arabian Toadhead Agama
Phrynocephalus axillaris,Yarkand toad-headed agama
Phrynocephalus clarkorum,
Phrynocephalus erythrurus,
Phrynocephalus euptilopus,Alcock's toad-headed agama
Phrynocephalus forsythii,Forsyth' s Toadhead Agama
Phrynocephalus frontalis,"E: Shansi Toadhead Agama
G: Shansi-Krötenkopfagame"
Phrynocephalus golubewii,
Phrynocephalus guttatus,"E: Spotted Toadhead Agama; melanurus: Saissan toad-headed agama; arcellazzii: Central Asian Toadhead Agama; salenskyi: Salensky's Toadhead Agama
G: Gefleckter Krötenkopf"
Phrynocephalus helioscopus,"E: Sunwatcher Toadhead Agama; saidalievi: Fergana toad-headed agamas
G: Sonnengucker"
Phrynocephalus interscapularis,"E: Lichtenstein's Toadhead Agama
sogdianus: Tajikistan Toadhead Agama"
Phrynocephalus lutensis,Lut Desert Toad Headed Agama
Phrynocephalus luteoguttatus,Yellow-speckled toad-headed agama
Phrynocephalus maculatus,"E: Blacktail Toadhead  Agama, Spotted Toad-headed Agama
G: Gefleckte Krötenkopfagame"
Phrynocephalus mystaceus,"E: Secret Toadhead Agama
G: Bärtiger Krötenkopf"
Phrynocephalus ornatus,
Phrynocephalus persicus,"Persian Toad-headed Agama
horvathi: Transcaucasian toad-headed agama"
Phrynocephalus przewalskii,Przewalski's Toadhead Agama; birulai: Tsarewsky's Toadhead Agama; steindachneri: Steindachner's Toadhead Agama; parvulus: Slight Toadhead Agama
Phrynocephalus putjatai,
Phrynocephalus raddei,
Phrynocephalus reticulatus,Reticulated toad-headed agama
Phrynocephalus roborowskii,Roborowski's Toadhead Agama
Phrynocephalus rossikowi,Uzbekistan Toadhead Agama
Phrynocephalus sakoi,
Phrynocephalus scutellatus,Gray Toadhead Agama
Phrynocephalus strauchi,
Phrynocephalus theobaldi,"Theobald's toad-headed agama, Toad Mounted lizard, snow lizard; lidskii: Tibetan Toadhead Agama; alticola: Montane toad-headed agama

Nepali: Hiu cheparo"
Phrynocephalus versicolor,
Phrynocephalus vlangalii,Ching Hai Toadhead Agama; pylzowi: Pylzow's Toadhead Agama; geckoides: Gecko Toadhead Agama
Phrynonax poecilonotus,"E: Puffing Snake
G: Zischnatter"
Phrynonax polylepis,
Phrynonax shropshirei,Shropshire's Puffing Snake
Phrynops geoffroanus,"Geoffroy’s Toadhead Turtle, Geoffroy’s Side-necked Turtle
tuberosus: Cotinga River Toadhead Turtle"
Phrynops hilarii,"E: Hilaire’s Toadhead Turtle, Hilaire’s Side-necked Turtle
G: Krötenkopfschildkröte"
Phrynops tuberosus,Cotinga River Toadhead Turtle
Phrynops williamsi,"William’s Toadhead Turtle, William’s South-American Side-necked Turtle"
Phrynosoma asio,"E: Giant Horned Lizard
G: Riesenkrötenechse"
Phrynosoma bauri,Baur’s Short-horned Lizard
Phrynosoma blainvillii,"E: San Diego Horned Lizard
G: Blainvills Krötenechse"
Phrynosoma braconnieri,"Short-tail Horned Lizard
G: Kurzschwanz-Krötenechse"
Phrynosoma brevirostris,Great Plains Short-horned Lizard
Phrynosoma cerroense,"E: Cedros Island Horned Lizard
G: Cedros-Krötenechse
E: Gulf Coast Horned Lizard [wigginsi]"
Phrynosoma cornutum,"E: Texas Horned Lizard
G: Texas-Krötenechse"
Phrynosoma coronatum,"E: Coast Horned Lizard
blainvillii: San Diego Horned Lizard
frontale: California Horned Lizard
G: Kronen-Krötenechse"
Phrynosoma diminutum,San Luis Valley Short-horned Lizard
Phrynosoma ditmarsi,Rock Horned Lizard
Phrynosoma douglasii,"E: Pigmy Short-horned Lizard
G: Zwerg-Kurzhorn-Krötenechse
douglasii: Pigmy Short-horned Lizard"
Phrynosoma goodei,"E: Sonoran Horned Lizard
G: Sonora-Wüstenkrötenechse"
Phrynosoma hernandesi,"E: Mountain Short-horned Lizard; ornatum: Salt Lake Valley Short-horned Lizard
G: Berg-Kurzhornkrötenechse; ornatum: Salt Lake Valley Kurzhornkrötenechse"
Phrynosoma mcallii,"E: Flat-tail Horned Lizard
G: Flachschwanzkrötenechse"
Phrynosoma modestum,"E: Roundtail Horned Lizard
G: Rundschwanz-Krötenechse"
Phrynosoma orbiculare,"E: Mountain Horned Lizard
G: Mexikanische Kurzhorn-Krötenechse"
Phrynosoma ornatissimum,"E: Desert Short-horned Lizard
G: Wüsten-Kurzhorn-Krötenechse
E: Short-tail Short-horned Lizard [brachycercum]
G: Kurzschwanz-Kurzhorn-Krötenechse [brachycercum]"
Phrynosoma platyrhinos,"E: Desert Horned Lizard
G: Wüsten-Krötenechse
calidiarum: Southern Desert Horned Lizard
platyrhinos: Northern Desert Horned Lizard
goodei: Sonoran Horned Lizard"
Phrynosoma sherbrookei,
Phrynosoma solare,"E: Regal Horned Lizard
G: Vierhorn-Krötenechse"
Phrynosoma taurus,"E: Mexican Horned Lizard
G: Büffelhorn-Krötenechse"
Phyllodactylus angustidigitus,Narrow Leaf-toed Gecko
Phyllodactylus barringtonensis,Barrington Leaf-toed Gecko
Phyllodactylus baurii,Baur's Leaf-toed Gecko
Phyllodactylus bordai,Guerreran Leaf-toed Gecko
Phyllodactylus bugastrolepis,CatalinaIsland Leaf-toed Gecko
Phyllodactylus clinatus,Cerro illescas Gecko
Phyllodactylus darwini,Darwin's Leaf-toed Gecko
Phyllodactylus davisi,Davis' Leaf-toed Gecko
Phyllodactylus delcampoi,Del Campo's Leaf-toed Gecko
Phyllodactylus delsolari,
Phyllodactylus dixoni,Dixon's Leaf-toed Gecko
Phyllodactylus duellmani,Duellman's Pigmy Leaf-toed  Gecko
Phyllodactylus duncanensis,Galapagos Leaf-toed Gecko
Phyllodactylus galapagensis,Galapagos Leaf-toed Gecko
Phyllodactylus gerrhopygus,"E: South American Leaf-toed Gecko
S: Salamanqueja, Salamanquesa"
Phyllodactylus gilberti,Gilbert's Leaf-toed Gecko
Phyllodactylus gorii,Española Leaf-toed Gecko
Phyllodactylus homolepidurus,Sonoran Leaf-toed Gecko
Phyllodactylus inaequalis,Peru Leaf-toed Gecko
Phyllodactylus insularis,Belize Leaf-toed  Gecko
Phyllodactylus interandinus,Andes Leaf-toed  Gecko
Phyllodactylus johnwrighti,Rio Huancabamba Leaf-toed  Gecko
Phyllodactylus julieni,Aruba Leaf-toed Gecko
Phyllodactylus kofordi,Coastal Leaf-toed Gecko
Phyllodactylus lanei,Lane's Leaf-toed Gecko
Phyllodactylus leei,Chatham Leaf-toed Gecko
Phyllodactylus leoni,
Phyllodactylus lepidopygus,Western Leaf-toed Gecko
Phyllodactylus magister,"E: Noble's Leaf-toed Gecko
G: Nobles Blattfingergecko"
Phyllodactylus martini,Dutch Leaf-toed Gecko
Phyllodactylus microphyllus,Central Leaf-toed Gecko
Phyllodactylus muralis,Oaxacan Leaf-toed Gecko
Phyllodactylus nocticolus,Peninsula Leaf-toed Gecko
Phyllodactylus pachamama,
Phyllodactylus palmeus,Honduras Leaf-toed Gecko
Phyllodactylus papenfussi,
Phyllodactylus paralepis,
Phyllodactylus partidus,ParditaNorte Leaf-toed Gecko
Phyllodactylus paucituberculatus,Rio Marquez Valley Gecko
Phyllodactylus pulcher,Barbados Leaf-toed Gecko
Phyllodactylus pumilus,
Phyllodactylus reissii,"E: Peters' Leaf-toed Gecko
G: Peruanischer Blattfingergecko"
Phyllodactylus rutteni,Venezuela Leaf-toed  Gecko
Phyllodactylus sentosus,Lima Leaf-toed  Gecko
Phyllodactylus thompsoni,
Phyllodactylus transversalis,Colombian Leaf-toed  Gecko
Phyllodactylus tuberculosus,Yellowbelly  Gecko
Phyllodactylus unctus,San Lucan  Gecko
Phyllodactylus ventralis,Margarita Leaf-toed  Gecko
Phyllodactylus wirshingi,Puerto Rican Leaf-toed  Gecko
Phyllodactylus xanti,"Leaf-toed Gecko (including Santa Cruz Leaf-toed Gecko, Las Animas Island Gecko, Raza Island Leaf-toed Gecko)"
Phyllopezus lutzae,"Lutz’ (marked) Gecko, formerly Bogert's Gecko"
Phyllopezus maranjonensis,
Phyllopezus periosus,Peraiba Gecko
Phyllopezus pollicaris,Brazilian Gecko
Phyllorhynchus browni,"E: Saddled Leafnose Snake
G: Geringelte Blattnasennatter"
Phyllorhynchus decurtatus,"E: Spotted Leafnose Snake
G: Gefleckte Blattnasennatter"
Phyllurus amnicola,
Phyllurus caudiannulatus,Ringed Thin-tail Gecko
Phyllurus championae,
Phyllurus gulbaru,
Phyllurus isis,
Phyllurus kabikabi,
Phyllurus nepthys,
Phyllurus ossa,
Phyllurus platurus,"Broad-tailed Gecko, Southern Leaf-tailed Gecko"
Phymaturus aguanegra,
Phymaturus aguedae,"E: Agueda’s Rocky Lizard
S: Matuasto de Agueda"
Phymaturus alicahuense,
Phymaturus antofagastensis,
Phymaturus bibronii,
Phymaturus cacivioi,
Phymaturus calcogaster,
Phymaturus camilae,"E: Camila’s Patagonian Rocky Lizard
S: Matuasto de Camila"
Phymaturus castillensis,
Phymaturus ceii,
Phymaturus curivilcun,"S: Lagarto negro
E: Black lizard"
Phymaturus darwini,
Phymaturus delheyi,
Phymaturus denotatus,
Phymaturus desuetus,
Phymaturus dorsimaculatus,
Phymaturus etheridgei,
Phymaturus excelsus,
Phymaturus extrilidus,
Phymaturus felixi,
Phymaturus indistinctus,
Phymaturus laurenti,
Phymaturus mallimaccii,Thorntail Mountain Lizard
Phymaturus manuelae,
Phymaturus maulense,S: Matuasto del Maule
Phymaturus nevadoi,
Phymaturus palluma,High Mountain Lizard
Phymaturus patagonicus,Patagonia Mountain Lizard
Phymaturus payuniae,
Phymaturus punae,Cei's Mountain Lizard
Phymaturus querque,
Phymaturus rahuensis,
Phymaturus roigorum,
Phymaturus sinervoi,
Phymaturus sitesi,
Phymaturus somuncurensis,
Phymaturus spectabilis,"E: Climber lizard [agilis]
S: Lagarto trepador [agilis]"
Phymaturus spurcus,
Phymaturus tenebrosus,
Phymaturus tromen,
Phymaturus verdugo,
Phymaturus videlai,"English: Videla rockys’ lizard
Spanish: Lagarto de Videla"
Phymaturus vociferator,
Phymaturus williamsi,
Phymaturus yachanana,
Phymaturus zapalensis,
Physignathus cocincinus,"E: Chinese Water Dragon, Green Water Dragon, Thai Water Dragon, Asian water dragon
G: Grüne Wasseragame"
Phytolopsis punctata,"E: Blackwater Mud Snake, Spotted Water Snake
G: Gefleckte Wassertrugnatter"
Pinoyscincus abdictus,
Pinoyscincus coxi,Cox's Sphenomorphus
Pinoyscincus jagori,Jagor's Sphenomorphus
Pinoyscincus llanosi,Leyte Sphenomorphus
Pinoyscincus mindanensis,Mindanao Sphenomorphus
Pituophis catenifer,"Gopher Snake
affinis: Sonoran Gopher Snake
annectens: San Diego Gopher Snake
bimaris: Central Baja California Gopher Snake
catenifer: Pacific Gophersnake
coronalis:
deserticola: Great Basin Gopher Snake
fulginatus:
pumilis: Santa Cruz Gopher Snake
sayi: Bullsnake"
Pituophis deppei,"Mexican Bull Snake, Mexican Pine Snake"
Pituophis insulanus,Cedros Island Gopher Snake
Pituophis lineaticollis,"E: Middle American Gopher Snake, Cincuate Bull Snake
G: Gestreifte Kiefernatter"
Pituophis melanoleucus,"E: Eastern Pine Snake
lodingi: Black Pine Snake
melanoleucus: Northern Pine Snake
mugitus: Florida Pine Snake; G: Florida-Kiefernnatter
G: Bullennatter"
Pituophis ruthveni,Louisiana Pine Snake
Pituophis vertebralis,Cape Gopher Snake
Placosoma cipoense,Cunha's Brazilian Lizard
Placosoma cordylinum,
Placosoma glabellum,
Placosoma limaverdorum,
Plagiopholis blakewayi,"E: Blakeway’s Mountain Snake
G: Blakeways Bergschlange"
Plagiopholis delacouri,
Plagiopholis nuchalis,"E: Assam Mountain Snake
G: Indische Halsbandnatter"
Plagiopholis styani,Chinese Mountain Snake
Platemys platycephala,(Western) Twist-neck Turtle
Platyceps afarensis,
Platyceps bholanathi,"Sharma's Racer, Nagarjunasagar Racer"
Platyceps brevis,"Short Racer, Somali Racer
Smith's Racer [smithi]"
Platyceps collaris,"G: Rötliche Zornnatter
E: Collared Dwarf Racer
G: Halsband-Zwergnatter"
Platyceps elegantissimus,"E: Elegant Racer
G: Bracht-Zornnatter"
Platyceps florulentus,"E: Flowered Racer, Geoffroys’ Racer
G: Ägyptische Zornnatter"
Platyceps gracilis,"Graceful Racer, Slender Racer"
Platyceps insulanus,Sarso Island Racer
Platyceps karelini,E: Spotted Desert Racer
Platyceps ladacensis,"E: Braid Snake, Jan’s Cliff Racer
G: Jans Pfeilnatter"
Platyceps largeni,Dahlak Racer
Platyceps messanai,Schätti's Racer
Platyceps najadum,"E: Slender Whip Snake, Dahl’s Whip Snake
G: Schlanknatter"
Platyceps noeli,
Platyceps rhodorachis,"E: Common Cliff Racer, Wadi Racer, Desert racer, Braid Snake, Jan’s Cliff Racer
G: Jans Pfeilnatter"
Platyceps rogersi,"E: Rogers' Racer
G: Andersons Pfeilnatter, Rogers Renner"
Platyceps saharicus,
Platyceps scortecci,
Platyceps sinai,Sinai Racer.
Platyceps sindhensis,
Platyceps somalicus,Ogaden Racer
Platyceps taylori,Taylor’s Racer
Platyceps tessellata,
Platyceps thomasi,Thomas' Semi-banded Racer
Platyceps variabilis,Variable Snake
Platyceps ventromaculatus,"E: Hardwicke's Rat Snake, Glossy-bellied Racer
G: Gefleckte Zornnatter"
Platyplectrurus madurensis,Travancore Hills Thorntail Snake
Platyplectrurus trilineatus,Lined Thorntail Snake
Platysaurus attenboroughi,"E: Attenborough’s Flat Lizard
Afrikaans: Attenborough se Platakkedis"
Platysaurus broadleyi,"Augrabies Flat Lizard, Broadley’s Flat Lizard"
Platysaurus capensis,"Namaqua Flat Lizard, Cape Flat Lizard"
Platysaurus guttatus,"Dwarf Flat Lizard, Lesser Flat Lizard"
Platysaurus imperator,"Imperial Flat Lizard, Emperor Flat Lizard"
Platysaurus intermedius,"intermedius: Common Flat Lizard
inopinus: Unexpected Flat Lizard
natalensis: Kwazulu-Natal Flat Lizard
parvus: Blouberg Flat Lizard
rhodesianus: Zimbabwe Flat Lizard
wilhelmi: Wilhelm’s Flat Lizard"
Platysaurus lebomboensis,Lebombo Flat Lizard
Platysaurus maculatus,Spotted Flat Lizard
Platysaurus minor,Waterberg Flat Lizard
Platysaurus mitchelli,Mitchell's Flat Lizard
Platysaurus monotropis,Orange-throated Flat Lizard
Platysaurus ocellatus,Chimanimani Flat Lizard
Platysaurus orientalis,"orientalis: Sekhukhune Flat Lizard
fitzsimonsi: Fitzsimons’ Flat Lizard"
Platysaurus pungweensis,Pungwe Flat Lizard
Platysaurus relictus,"Soutpansberg Flat Lizard, Transvaal Flat Lizard"
Platysaurus torquatus,Collared Flat Lizard
Platysternon megacephalum,"E: Big-headed Turtle
G: Grosskopfschildkröte
peguense: Burmese Big-headed Turtle
shiui: Vietnamese Big-headed Turtle"
Plectrurus aureus,Kerala Burrowing Snake
Plectrurus guentheri,Günther's Burrowing Snake
Plectrurus perroteti,"Nilgiri Burrowing Snake, Perrotet’s Shieldtail"
Plesiodipsas perijanensis,Aleman's Snail-eater
Plestiodon anthracinus,"Coal Skink
anthracinus: Northern Coal Skink
pluvialis: Southern Coal Skink"
Plestiodon barbouri,Barbour's Eyelid Skink
Plestiodon bilineatus,
Plestiodon brevirostris,Shortnose Skink
Plestiodon callicephalus,Mountain Skink
Plestiodon capito,Gail's Eyelid Skink
Plestiodon chinensis,Chinese blue-tailed Skink
Plestiodon colimensis,Colima Skink
Plestiodon copei,Cope's Skink
Plestiodon coreensis,Smith's Skink
Plestiodon dicei,
Plestiodon dugesii,Duges' Skink
Plestiodon egregius,"Mole Skink
egregius: Florida Keys Mole Skink
insularis:: 210 Cedar Key Mole Skink
lividus: Bluetail Mole Skink
onocrepis: Peninsula Mole Skink
similis: Northern Mole Skink"
Plestiodon elegans,Shanghai Elegant Skink
Plestiodon fasciatus,Five-lined Skink
Plestiodon finitimus,Japanese: Higashi-Nihon-Tokage
Plestiodon gilberti,"arizonensis: Arizona Skink
cancellosus: Variegated Skink
gilberti: Greater Brown Skink
placerensis: Northern Brown Skink
rubricaudatus: Western Redtail Skink"
Plestiodon indubitus,
Plestiodon inexpectatus,Southeastern Five-lined Skink
Plestiodon japonicus,Japanese: Nihon-Tokage
Plestiodon kishinouyei,"Kishinoue's Giant Skink, Japanese Skink"
Plestiodon kuchinoshimensis,Japanese: Kuchinoshima-Tokage
Plestiodon lagunensis,San Lucan Skink
Plestiodon laticeps,Broadhead Skink
Plestiodon latiscutatus,"Far Eastern Skink, Japanese Five-lined Skink"
Plestiodon leucostictus,Chinese blue-tailed Skink
Plestiodon liui,
Plestiodon longirostris,"Longnose Skink, Bermuda Skink, Bermuda Rock Lizard"
Plestiodon lotus,
Plestiodon lynxe,Oak Forest Skink
Plestiodon marginatus,Ousima Skink
Plestiodon multilineatus,Chihuahuan Skink
Plestiodon multivirgatus,"epipleurotus: Many-lined Skink
multivirgatus: Northern Many-lined Skink
epipleurotus: Variable Skink"
Plestiodon nietoi,
Plestiodon obsoletus,Great Plains Skink
Plestiodon ochoterenae,Guerreran Skink
Plestiodon oshimensis,Ousima Skink
Plestiodon parviauriculatus,Northern Pigmy Skink
Plestiodon parvulus,Southern Pigmy Skink
Plestiodon popei,Pope's Skink
Plestiodon quadrilineatus,"E: Hong Kong Skink, Four-striped Skink
G: Vierstreifenskink, "
Plestiodon reynoldsi,Florida Sand Skink
Plestiodon septentrionalis,"Northern Prairie Skink
obtusirostris: Southern Prairie Skink"
Plestiodon skiltonianus,"interparietalis: Coronado Island Skink
skiltonianus: Western Skink
utahensis: Great Basin Skink"
Plestiodon stimpsonii,Stimpson's Skink
Plestiodon sumichrasti,Sumichrast's Skink
Plestiodon takarai,"Japanese: Senkaku-Tokage
E: Senkaku Skink"
Plestiodon tamdaoensis,Vietnam Skink
Plestiodon tetragrammus,"Four-lined Skink
brevilineatus: Short-lined Skink
tetragrammus: Four-lined Skink"
Plestiodon tunganus,
Pletholax gracilis,Slender Slider
Plica caribeana,Caribbean treerunner
Plica kathleenae,Kathleen’s Treerunner
Plica lumaria,
Plica medemi,Medem’s Treerunner
Plica pansticta,
Plica plica,"E: Tree Runner
G: Stelzenläuferleguan"
Plica rayi,Ray’s Treerunner
Plica umbra,"Blue-Lipped Tree Lizard, Harlequin Racerunner"
Pliocercus elapoides,Variegated False Coral Snake.
Pliocercus euryzonus,Cope's False Coral Snake
Podarcis bocagei,"G: Nordwestibersiche Mauereidechse, Bocages Mauereidechse"
Podarcis carbonelli,Carbonell’s Wall Lizard
Podarcis cretensis,
Podarcis erhardii,"G: Kykladen-Mauereidechse, Ägäische Mauereidechse"
Podarcis filfolensis,"E: Filfola Wall Lizard
G: Malta-Mauereidechse, Malta-Eidechse"
Podarcis gaigeae,"E: Skyros Wall Lizard
G: Skyros-Mauereidechse"
Podarcis guadarramae,
Podarcis hispanicus,"E: Iberian Wall Lizard
G: Spanische Mauereidechse
D: Spaanse Muurhagedis"
Podarcis levendis,
Podarcis lilfordi,"Lilford's Wall Lizard
G: Balearen-Eidechse, Dragonera-Eidechse"
Podarcis liolepis,"E: Columbretes Wall Lizard
G: Columbretes Mauereidechse
D: Columbretes Muurhagedis"
Podarcis melisellensis,"E: Dalmatian Wall Lizard
G: Adriatische Mauereidechse
NL: karsjthagedis"
Podarcis milensis,"E: Milos Wall Lizard
G: Milos-Mauereidechse"
Podarcis muralis,"E: Common Wall Lizard
G: Mauereidechse; albanica: Balkan-Mauereidechse"
Podarcis peloponnesiacus,"E: Peloponnese Wall Lizard
G: Peloponnesische Eidechse"
Podarcis pityusensis,"E: Ibiza Wall Lizard
G: Pityusen-Eidechse"
Podarcis raffonei,Aeolian Wall Lizard
Podarcis siculus,"E: Italian Wall Lizard
G: Ruineneidechse"
Podarcis tauricus,"E: Crimean Wall Lizard
G: Taurische Eidechse"
Podarcis tiliguerta,G: Tyrrhenische Mauereidechse
Podarcis vaucheri,"G: Südiberische Mauereidechse, Maghreb-Mauereidechse"
Podarcis virescens,
Podarcis waglerianus,"E: Sicilian Wall Lizard
G: Sizilianische Mauereidechse"
Podocnemis erythrocephala,Red-headed Amazon Side-necked Turtle
Podocnemis expansa,"E: Arrau River Turtle, South American River Turtle
G: Arrau-Schienenschildkröte"
Podocnemis lewyana,"E: Rio Magdalena River Turtle
S: Tortuga del río Magdalena"
Podocnemis sextuberculata,"Six-tubercled Amazon River Turtle, Amazon River Turtle"
Podocnemis unifilis,Yellow-spotted Amazon River Turtle
Podocnemis vogli,Savanna Side-necked Turtle
