Species,Common_name
Ahaetulla mycterizans,"E: Malayan (Green) Whipsnake
G: Malaiische Peitschennatter"
Ahaetulla nasuta,"E: Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake
G: Nasenpeitschennatter, Baumschnüffler"
Ahaetulla perroteti,Western Ghats Bronzeback
Ahaetulla prasina,"E: Gunther’s whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake
G: Grüne Peitschennatter"
Ahaetulla pulverulenta,Brown-speckled Whipsnake
Ailuronyx seychellensis,"E: English common name not available
G: Bronzegecko"
Ailuronyx tachyscopaeus,
Ailuronyx trachygaster,Yellow Gecko
Aipysurus apraefrontalis,"E: Short-nosed Seasnake, Sahul Reef Snake
G: Riff Seeschlange"
Aipysurus duboisii,Reef shallows seasnake
Aipysurus eydouxii,Spine-tailed seasnake
Aipysurus foliosquama,Leaf-scaled Seasnake
Aipysurus fuscus,"E: Dusky Seasnake, Timor Reef Snake
G: Riff Seeschlange"
Aipysurus laevis,Olive-brown seasnake
Aipysurus mosaicus,
Aipysurus pooleorum,Shark Bay Seasnake
Aipysurus tenuis,Arafura Sea Snake
Aldabrachelys gigantea,"E: Aldabra Giant Tortoise [gigantea]
E: Daudin’s Giant Tortoise [daudinii]
E: Seychelles Giant Tortoise [hololissa]
E: Arnold’s Giant Tortoise [arnoldi]"
Alexandresaurus camacan,"E: Alexandre's lizard
S: Calanguinho do Alexandre"
Algyroides fitzingeri,"E: Fitzinger's Algyroides
G: Zwerg-Kieleidechse, Tyrrhenische Kieleidechse"
Algyroides marchi,"E: Spanish Keeled Lizard
G: Spanische Kieleidechse"
Algyroides moreoticus,"E: Greek Keeled Lizard
G: Peloponnesische Kieleidechse, Ionische Kieleidechse"
Algyroides nigropunctatus,"E: Blue-throated Keeled Lizard
G: Pracht-Kieleidechse"
Alinea lanceolata,Barbados Skink
Alinea luciae,Saint Lucia Skink
Alligator mississippiensis,"E: Alligator, Gator, American alligator, Florida alligator, Mississippi alligator, Louisiana alligator.
G: Mississippi-Alligator"
Alligator sinensis,"E: Chinese alligator, T'o, Yow Lung, Yangtze alligator
G: China-Alligator"
Alluaudina bellyi,
Alluaudina mocquardi,
Alopoglossus angulatus,Northern Teiid
Alopoglossus atriventris,Keel-Bellied Shade Lizard
Alopoglossus buckleyi,Buckley's Teiid
Alopoglossus copii,Drab Shade Lizard
Alopoglossus embera,
Alopoglossus festae,
Alopoglossus lehmanni,
Alopoglossus viridiceps,"E: Green-headed shade lizards
S: Lagartijas de sombra de cabeza verde"
Alsophis antiguae,Antiguan racer
Alsophis antillensis,"Antilles Racer, Leeward Racer"
Alsophis danforthi,
Alsophis manselli,Montserrat Racer
Alsophis rijgersmaei,"Anguilla Racer, Leeward Islands Racer"
Alsophis rufiventris,"Saba Racer, Orange-bellied racer"
Alsophis sajdaki,
Alsophis sanctonum,
Alsophis sibonius,Dominican Racer
Alsophylax laevis,"E: Southern Even-fingered Gecko
G: Südlicher Geradfingergecko"
Alsophylax loricatus,Strauch's Even-fingered Gecko
Alsophylax pipiens,"E: Kaspischer Even-fingered Gecko
G: Kaspischer Geradfinger"
Alsophylax przewalskii,Xinjiang Even-fingered Gecko
Alsophylax szczerbaki,Szczerbak’s Even-fingered Gecko
Alsophylax tadjikiensis,"Tadjik Pygmy gecko, Tadjikistan Even-fingered Gecko"
Altiphylax baturensis,E: Batura Glacier Gecko
Altiphylax levitoni,Leviton's Gecko
Altiphylax mintoni,"Minton’s Thin-toed gecko, Plump Swati gecko"
Altiphylax stoliczkai,"Frontier Bow-fingered Gecko, Baltistan gecko
Böhme’s Mountain Gecko, Karakorum gecko [boehmei]"
Altiphylax tokobajevi,"Tjan-Shan Pygmy Gecko, Kirghizia Even-fingered Gecko"
Amalosia jacovae,E: Clouded Gecko
Amalosia lesueurii,"Lesueur's Velvet Gecko, Lesueur's Gecko"
Amalosia obscura,Slim Velvet Gecko
Amalosia rhombifer,"Zigzag Velvet Gecko, Zig-zag Gecko"
Amapasaurus tetradactylus,Four-toed Amapasaurus
Amastridium sapperi,
Amastridium veliferum,"Rufous-headed snake, Rustyhead Snake"
Amblyodipsas concolor,Kwazulu-Natal Purple-glossed Snake
Amblyodipsas dimidiata,Mpwapwa Purple-glossed Snake
Amblyodipsas katangensis,Katanga Purple-glossed Snake
Amblyodipsas microphthalma,"Eastern Purple-glossed Snake
nigra: Soutpansberg Purple-glossed Snake"
Amblyodipsas polylepis,"polylepis: Common Purple-glossed Snake
hildebrandtii: Common Purple-glossed Snake"
Amblyodipsas rodhaini,Rodhain's Purple-glossed Snake
Amblyodipsas teitana,Teitana Purple-glossed Snake
Amblyodipsas unicolor,"Dull Purple-glossed Snake, Western Purple-glossed Snake"
Amblyodipsas ventrimaculata,Kalahari Purple-glossed Snake
Amblyrhynchus cristatus,"E: Marine Iguana
G: Meerechse
albemarlensis: Isabela Marine Iguana
hassi: Santa Cruz Marine Iguana
mertensi: San Cristóbal Marine Iguana
nanus: Genovesa Marine Iguana
sielmanni: Pinta Marine Iguana
venustissimus: Española Marine Iguana"
Ameiva aggerecusans,
Ameiva ameiva,"Giant Ameiva, Amazon Racerunner "
Ameiva atrigularis,"Giant Ameiva, Amazon Racerunner "
Ameiva bifrontata,Cope's Ameiva
Ameiva concolor,
Ameiva fuliginosa,
Ameiva jacuba,
Ameiva nodam,
Ameiva pantherina,
Ameiva parecis,
Ameiva praesignis,"Giant Ameiva, Amazon Racerunner "
Ameiva provitaae,S: mato trompa roja
Ameiva reticulata,
Ameivula abalosi,
Ameivula cipoensis,
Ameivula confusioniba,
Ameivula jalapensis,
Ameivula mumbuca,
Ameivula nativo,
Ameivula nigrigula,
Ameivula ocellifera,Spix's Whiptail
